account_id,city,latitude,longitude,ip_prefix,primary_channel,typical_amount,typical_hour,primary_device,secondary_device,primary_sim,shared_device_allowed,regret_limit_30d,interaction_ms_per_step,typing_interval_ms,tilt_variance,recipients
ng_acct_00001,Lagos,6.5244,3.3792,102.88.10.0/24,app,1190.0,7,device_00001_primary,device_00001_family,sim_00001_primary_verified,False,3,3410.169134607414,179.08177351334385,2.5671094522783466,"['ng_recipient_00001_0', 'ng_recipient_00001_1', 'ng_recipient_00001_2', 'ng_recipient_00001_3', 'ng_recipient_00001_4']"
ng_acct_00002,Abuja,9.0765,7.3986,105.112.24.0/24,ussd,7450.0,11,device_00002_primary,device_00002_family,sim_00002_primary,False,4,3558.316841837781,187.00832028849484,2.4885039774661046,"['ng_recipient_00002_0', 'ng_recipient_00002_1', 'ng_recipient_00002_2', 'ng_recipient_00002_3', 'ng_recipient_00002_4']"
ng_acct_00003,Kano,12.0022,8.592,197.210.8.0/24,ussd,6610.0,8,device_00003_primary,device_00003_family,sim_00003_primary,True,3,3289.7688322384156,212.9817561852738,2.272244475354197,"['ng_recipient_00003_0', 'ng_recipient_00003_1', 'ng_recipient_00003_2', 'ng_recipient_00003_3', 'ng_recipient_00003_4']"
ng_acct_00004,Port Harcourt,4.8156,7.0498,41.58.32.0/24,ussd,16140.0,10,device_00004_primary,device_00004_family,sim_00004_primary_verified,True,3,4476.334428732163,146.94955286310488,2.4962376925072056,"['ng_recipient_00004_0', 'ng_recipient_00004_1', 'ng_recipient_00004_2', 'ng_recipient_00004_3', 'ng_recipient_00004_4']"
ng_acct_00005,Ibadan,7.3775,3.947,102.89.6.0/24,app,3150.0,14,device_00005_primary,device_00005_family,sim_00005_primary_verified,False,3,4339.515910025794,159.00633959055764,2.7765052640166044,"['ng_recipient_00005_0', 'ng_recipient_00005_1', 'ng_recipient_00005_2', 'ng_recipient_00005_3', 'ng_recipient_00005_4']"
ng_acct_00006,Enugu,6.4584,7.5464,197.211.40.0/24,ussd,6420.0,15,device_00006_primary,device_00006_family,sim_00006_primary_verified,False,3,3732.873140013495,168.02045146462905,1.9458009135143444,"['ng_recipient_00006_0', 'ng_recipient_00006_1', 'ng_recipient_00006_2', 'ng_recipient_00006_3', 'ng_recipient_00006_4']"
ng_acct_00007,Lagos,6.5244,3.3792,102.88.10.0/24,app,7450.0,8,device_00007_primary,device_00007_family,sim_00007_primary,False,3,5263.647568963801,300.2817846738948,3.290127216143073,"['ng_recipient_00007_0', 'ng_recipient_00007_1', 'ng_recipient_00007_2', 'ng_recipient_00007_3', 'ng_recipient_00007_4']"
ng_acct_00008,Abuja,9.0765,7.3986,105.112.24.0/24,app,9030.0,17,device_00008_primary,device_00008_family,sim_00008_primary,True,3,3585.9269866365707,179.83483879135912,2.5561064760700667,"['ng_recipient_00008_0', 'ng_recipient_00008_1', 'ng_recipient_00008_2', 'ng_recipient_00008_3', 'ng_recipient_00008_4']"
ng_acct_00009,Kano,12.0022,8.592,197.210.8.0/24,app,12620.0,8,device_00009_primary,device_00009_family,sim_00009_primary,False,4,2948.0782413628394,156.11029354737423,1.6128933589120042,"['ng_recipient_00009_0', 'ng_recipient_00009_1', 'ng_recipient_00009_2', 'ng_recipient_00009_3', 'ng_recipient_00009_4']"
ng_acct_00010,Port Harcourt,4.8156,7.0498,41.58.32.0/24,app,2970.0,20,device_00010_primary,device_00010_family,sim_00010_primary,True,3,2809.018922042076,195.93777029651554,1.4425702033087466,"['ng_recipient_00010_0', 'ng_recipient_00010_1', 'ng_recipient_00010_2', 'ng_recipient_00010_3', 'ng_recipient_00010_4']"
ng_acct_00011,Ibadan,7.3775,3.947,102.89.6.0/24,agent,2990.0,6,device_00011_primary,device_00011_family,sim_00011_primary_verified,True,3,3500.55924480392,167.17626125432676,3.107800169127397,"['ng_recipient_00011_0', 'ng_recipient_00011_1', 'ng_recipient_00011_2', 'ng_recipient_00011_3', 'ng_recipient_00011_4']"
ng_acct_00012,Enugu,6.4584,7.5464,197.211.40.0/24,app,2720.0,10,device_00012_primary,device_00012_family,sim_00012_primary,True,3,3189.8406564259253,192.00686455869214,2.6560245197347543,"['ng_recipient_00012_0', 'ng_recipient_00012_1', 'ng_recipient_00012_2', 'ng_recipient_00012_3', 'ng_recipient_00012_4']"
ng_acct_00013,Lagos,6.5244,3.3792,102.88.10.0/24,agent,2830.0,15,device_00013_primary,device_00013_family,sim_00013_primary,False,3,4040.2613207720265,210.58067134755794,1.3236035502019574,"['ng_recipient_00013_0', 'ng_recipient_00013_1', 'ng_recipient_00013_2', 'ng_recipient_00013_3', 'ng_recipient_00013_4']"
