event_id,account_id,occurred_at,event_type,channel,amount,available_balance_before,recipient_id,device_id,sim_id,ip_prefix,session_id,latitude,longitude,interaction_ms,menu_depth,input_method,keystroke_interval_ms,device_tilt_variance,navigation_signature,sim_change_verified,telco_assurance,agent_assurance,coercion_signals,success,metadata,scenario,is_takeover,profile_eligible
evt_ng_acct_00058_0008_monthly_92,ng_acct_00058,2024-11-02T10:17:00Z,transfer,app,37000.0,112200.0,recurring_landlord_ng_acct_00058,device_00058_primary,sim_00058_primary,41.58.32.0/24,session_ng_acct_00058_0008,4.8156,7.0498,19379.0,6.0,typed,200.70082991461405,2.169785294507491,app_home_bills,False,,,,True,"{""calendar_pattern"": ""monthly_rent"", ""synthetic_precursor"": true}",recurring_monthly_payment,0,1
evt_ng_acct_00030_0008_monthly_92,ng_acct_00030,2024-11-02T12:44:00Z,transfer,app,14000.0,42300.0,recurring_landlord_ng_acct_00030,device_00030_primary,sim_00030_primary,197.211.40.0/24,session_ng_acct_00030_0008,6.4584,7.5464,22523.0,7.0,typed,181.01063531773985,1.3780004062016782,app_quick_pay,False,,,,True,"{""calendar_pattern"": ""monthly_rent"", ""synthetic_precursor"": true}",recurring_monthly_payment,0,1
evt_ng_acct_00461_0008_monthly_92,ng_acct_00461,2024-11-03T05:13:00Z,transfer,app,22800.0,69100.0,recurring_landlord_ng_acct_00461,device_00461_primary,sim_00461_primary,102.89.6.0/24,session_ng_acct_00461_0008,7.3775,3.947,24568.0,7.0,typed,163.59868063113765,2.6785396998622644,app_quick_pay,False,"{""gateway_attested"": true, ""iccid_changed"": false, ""imsi_changed"": false, ""otp_sim_geo_distance_km"": null, ""otp_to_sim_change_minutes"": null, ""previous_sim_tenure_days"": 982.7898492269417, ""sim_activation_age_hours"": 8681.704088350836, ""sim_changes_30d"": 0, ""sim_type_changed"": false}",,,True,"{""calendar_pattern"": ""monthly_rent"", ""synthetic_precursor"": true}",recurring_monthly_payment,0,1
evt_ng_acct_00351_0008_monthly_92,ng_acct_00351,2024-11-03T05:53:00Z,transfer,app,17800.0,53900.0,recurring_landlord_ng_acct_00351,device_00351_primary,sim_00351_primary,197.210.8.0/24,session_ng_acct_00351_0008,12.0022,8.592,14760.0,4.0,typed,197.52288858883816,2.3094565282225905,app_home_bills,False,,,,True,"{""calendar_pattern"": ""monthly_rent"", ""synthetic_precursor"": true}",recurring_monthly_payment,0,1
evt_ng_acct_00434_0008_monthly_92,ng_acct_00434,2024-11-03T12:28:00Z,transfer,ussd,20900.0,63300.0,recurring_landlord_ng_acct_00434,,sim_00434_primary,,session_ng_acct_00434_0008,9.0765,7.3986,14644.0,4.0,unknown,,,ussd_1_2_1,False,,,,True,"{""calendar_pattern"": ""monthly_rent"", ""synthetic_precursor"": true}",recurring_monthly_payment,0,1
evt_ng_acct_00690_0008_monthly_92,ng_acct_00690,2024-11-03T21:38:00Z,transfer,ussd,11900.0,21700.0,recurring_landlord_ng_acct_00690,,sim_00690_primary,,session_ng_acct_00690_0008,,,16395.0,5.0,unknown,,,ussd_1_2_1,False,"{""gateway_attested"": true, ""iccid_changed"": false, ""imsi_changed"": false, ""otp_sim_geo_distance_km"": null, ""otp_to_sim_change_minutes"": null, ""previous_sim_tenure_days"": 481.6890319163842, ""sim_activation_age_hours"": 7553.041190779803, ""sim_changes_30d"": 0, ""sim_type_changed"": false}",,,True,"{""calendar_pattern"": ""monthly_rent"", ""synthetic_precursor"": true}",recurring_monthly_payment,0,1
evt_ng_acct_00104_0009_monthly_92,ng_acct_00104,2024-11-07T01:16:00Z,transfer,ussd,12700.0,38400.0,recurring_landlord_ng_acct_00104,device_00104_primary,sim_00104_primary,,session_ng_acct_00104_0009,9.0765,7.3986,21459.0,4.0,unknown,,,ussd_1_2_1,False,"{""gateway_attested"": true, ""iccid_changed"": false, ""imsi_changed"": false, ""otp_sim_geo_distance_km"": null, ""otp_to_sim_change_minutes"": null, ""previous_sim_tenure_days"": 944.3441197722874, ""sim_activation_age_hours"": 8503.34296479354, ""sim_changes_30d"": 0, ""sim_type_changed"": false}",,,True,"{""calendar_pattern"": ""monthly_rent"", ""synthetic_precursor"": true}",recurring_monthly_payment,0,1
evt_ng_acct_00245_0009_monthly_92,ng_acct_00245,2024-11-07T03:21:00Z,transfer,ussd,11900.0,28300.0,recurring_landlord_ng_acct_00245,,sim_00245_primary,102.89.6.0/24,session_ng_acct_00245_0009,,,13172.0,5.0,unknown,,,ussd_1_3_1,False,,,,True,"{""calendar_pattern"": ""monthly_rent"", ""synthetic_precursor"": true}",recurring_monthly_payment,0,1
evt_ng_acct_00270_0009_monthly_92,ng_acct_00270,2024-11-07T03:42:00Z,transfer,ussd,11900.0,17900.0,recurring_landlord_ng_acct_00270,,sim_00270_primary,,session_ng_acct_00270_0009,,,25481.0,6.0,unknown,,,ussd_1_3_1,False,"{""gateway_attested"": true, ""iccid_changed"": false, ""imsi_changed"": false, ""otp_sim_geo_distance_km"": null, ""otp_to_sim_change_minutes"": null, ""previous_sim_tenure_days"": 1359.637397031855, ""sim_activation_age_hours"": 6060.566676568496, ""sim_changes_30d"": 0, ""sim_type_changed"": false}",,,True,"{""calendar_pattern"": ""monthly_rent"", ""synthetic_precursor"": true}",recurring_monthly_payment,0,1
evt_ng_acct_00197_0009_monthly_92,ng_acct_00197,2024-11-07T06:43:00Z,transfer,ussd,26800.0,81300.0,recurring_landlord_ng_acct_00197,,sim_00197_primary,,session_ng_acct_00197_0009,7.3775,3.947,9739.0,5.0,unknown,,,ussd_1_2_1,False,,,,True,"{""calendar_pattern"": ""monthly_rent"", ""synthetic_precursor"": true}",recurring_monthly_payment,0,1
evt_ng_acct_00397_0009_monthly_92,ng_acct_00397,2024-11-07T06:56:00Z,transfer,ussd,11900.0,26100.0,recurring_landlord_ng_acct_00397,,sim_00397_primary,102.88.10.0/24,session_ng_acct_00397_0009,,,24229.0,6.0,unknown,,,ussd_2_1_1,False,"{""gateway_attested"": true, ""iccid_changed"": false, ""imsi_changed"": false, ""otp_sim_geo_distance_km"": null, ""otp_to_sim_change_minutes"": null, ""previous_sim_tenure_days"": 510.4983633065578, ""sim_activation_age_hours"": 12191.319693786247, ""sim_changes_30d"": 0, ""sim_type_changed"": false}",,,True,"{""calendar_pattern"": ""monthly_rent"", ""synthetic_precursor"": true}",recurring_monthly_payment,0,1
evt_ng_acct_00385_0009_monthly_92,ng_acct_00385,2024-11-07T12:48:00Z,transfer,ussd,11900.0,18400.0,recurring_landlord_ng_acct_00385,,sim_00385_primary,102.88.10.0/24,session_ng_acct_00385_0009,6.5244,3.3792,20145.0,4.0,unknown,,,ussd_1_2_1,False,"{""gateway_attested"": true, ""iccid_changed"": false, ""imsi_changed"": false, ""otp_sim_geo_distance_km"": null, ""otp_to_sim_change_minutes"": null, ""previous_sim_tenure_days"": 1062.5106723090405, ""sim_activation_age_hours"": 9219.297557956223, ""sim_changes_30d"": 0, ""sim_type_changed"": false}",,,True,"{""calendar_pattern"": ""monthly_rent"", ""synthetic_precursor"": true}",recurring_monthly_payment,0,1
evt_ng_acct_00615_0009_monthly_92,ng_acct_00615,2024-11-07T21:08:00Z,transfer,app,18900.0,57200.0,recurring_landlord_ng_acct_00615,device_00615_primary,sim_00615_primary,197.210.8.0/24,session_ng_acct_00615_0009,12.0022,8.592,18064.0,5.0,typed,225.6358755003791,2.3501242635642576,app_quick_pay,False,,,,True,"{""calendar_pattern"": ""monthly_rent"", ""synthetic_precursor"": true}",recurring_monthly_payment,0,1
evt_ng_acct_00693_0009_monthly_92,ng_acct_00693,2024-11-07T21:53:00Z,transfer,ussd,12400.0,37400.0,recurring_landlord_ng_acct_00693,,,197.210.8.0/24,session_ng_acct_00693_0009,,,14029.0,4.0,unknown,,,ussd_1_3_1,False,"{""gateway_attested"": true, ""iccid_changed"": false, ""imsi_changed"": false, ""otp_sim_geo_distance_km"": null, ""otp_to_sim_change_minutes"": null, ""previous_sim_tenure_days"": 969.0873729085424, ""sim_activation_age_hours"": 8112.083408883487, ""sim_changes_30d"": 0, ""sim_type_changed"": false}",,,True,"{""calendar_pattern"": ""monthly_rent"", ""synthetic_precursor"": true}",recurring_monthly_payment,0,1
evt_ng_acct_00750_0009_monthly_92,ng_acct_00750,2024-11-07T23:46:00Z,transfer,agent,13800.0,41800.0,recurring_landlord_ng_acct_00750,agent_terminal_030,,197.211.40.0/24,session_ng_acct_00750_0009,6.4584,7.5464,28179.0,7.0,unknown,,,agent_customer_transfer,False,,"{""agent_token"": ""agent_token_030"", ""gateway_attested"": true, ""registered_latitude"": 6.4584, ""registered_longitude"": 7.5464, ""shift_end_hour"": 22, ""shift_start_hour"": 6, ""terminal_age_days"": 734.6795986850356, ""terminal_token"": ""terminal_token_030""}",,True,"{""calendar_pattern"": ""monthly_rent"", ""synthetic_precursor"": true}",recurring_monthly_payment,0,1
